Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
13.089139249999999,77.5827165877116,560106,Yelahanka Satellite Town,4.0,Indian Restaurant,Pizza Place,Resort,Dessert Shop,Bus Station,Yoga Studio,Electronics Store,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
13.0895251,77.5563629,560097,Chikkabettahalli,1.0,ATM,Bus Station,Fast Food Restaurant,Pharmacy,Warehouse Store,Convenience Store,Cosmetics Shop,Financial or Legal Service,Field,Construction & Landscaping
13.0994536,77.5680336,560064,Attur,2.0,Indian Restaurant,Bus Station,Snack Place,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space
13.1006982,77.5963454,560064,Yelahanka,1.0,Café,Clothing Store,Food Truck,Chinese Restaurant,Multiplex,Train Station,Ice Cream Shop,Smoke Shop,Vegetarian / Vegan Restaurant,American Restaurant
13.103799,77.6016167,562149,Kannur,1.0,Fast Food Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Farmers Market,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Event Space,Event Service
13.106022,77.5821244,560064,Wheel And Axle Plant,4.0,Café,Bakery,Diner,Gym,Cosmetics Shop,South Indian Restaurant,Indian Restaurant,Department Store,Dry Cleaner,Dumpling Restaurant
13.1067289,77.59970299116564,560064,Kendriya Vihar,1.0,Fast Food Restaurant,Food Truck,Vegetarian / Vegan Restaurant,Train Station,Yoga Studio,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
13.1214191,77.57086432354477,560064,CRPF Campus Yelahanka,1.0,ATM,Restaurant,Department Store,Coffee Shop,Airport Terminal,Donut Shop,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant
13.1331868,77.6687093,562149,Bagalur,1.0,Memorial Site,Food Truck,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
13.1440103,77.6191241,562157,Hunasamaranahalli,2.0,Indian Restaurant,Coffee Shop,South Indian Restaurant,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
13.1478621,77.5693207,560064,Singanayakanahalli,4.0,Café,Hotel,Indian Restaurant,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
13.1691901,77.5639442,560064,Rajanakunte,1.0,Fast Food Restaurant,Spa,Train Station,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Farmers Market,Event Space,Event Service
13.1715801,77.6345704,562157,Chikkajala,1.0,Hotel,Fast Food Restaurant,Bike Shop,Café,Coworking Space,Dry Cleaner,Financial or Legal Service,Field,Convenience Store,Cosmetics Shop
13.1767348,77.6520502,562157,Doddajala,1.0,Hotel,Mountain,Resort,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
13.2151923,77.6667197,560067,Kannamangala,4.0,Karnataka Restaurant,South Indian Restaurant,Indian Restaurant,Multicuisine Indian Restaurant,Dive Bar,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
13.4279345,77.5131493,560087,Gunjur,1.0,Trail,Lake,Yoga Studio,Dive Bar,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
15.3500091,75.1375385,560006,J.C.Nagar,4.0,Shopping Mall,Indian Restaurant,Food Court,Bus Station,Café,Juice Bar,Jewelry Store,Snack Place,Dance Studio,Deli / Bodega
15.3597318,75.1269595,562157,Vidyanagara,4.0,Café,Hotel,Indian Restaurant,Breakfast Spot,Mattress Store,Electronics Store,Food,Cupcake Shop,Dance Studio,Flea Market
