Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
12.9277134,77.5514022,560085,Kathriguppe,4.0,Café,Indian Restaurant,Breakfast Spot,Pizza Place,Tea Room,Fast Food Restaurant,South Indian Restaurant,Electronics Store,Motorcycle Shop,Movie Theater
12.928080600000001,77.63071968728623,560034,Koramangala I Block,4.0,Indian Restaurant,Café,Italian Restaurant,Pub,Bakery,Ice Cream Shop,Coffee Shop,Pizza Place,Breakfast Spot,Bar
12.928367,77.5905691,560041,Tilaknagar,4.0,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Ice Cream Shop,Jewelry Store,Pizza Place,Coffee Shop,Restaurant,Lounge
12.9292731,77.5824229,560041,"Jayanagar,Jayanagar West",4.0,Indian Restaurant,Café,Chinese Restaurant,Ice Cream Shop,Coffee Shop,Lounge,Fast Food Restaurant,Juice Bar,Pizza Place,Hotel
12.9301881,77.5378332,560085,Hosakerehalli,4.0,Pizza Place,Indian Restaurant,Toll Booth,Fast Food Restaurant,Park,Juice Bar,Ice Cream Shop,Yoga Studio,Donut Shop,Dry Cleaner
12.9309732,77.5901342,560055,Milk Colony,4.0,Indian Restaurant,Café,Chinese Restaurant,Fast Food Restaurant,Jewelry Store,Lounge,Juice Bar,Coffee Shop,Pizza Place,Bakery
12.93164,77.6138743,560030,Hosur Road,4.0,Indian Restaurant,Café,Dessert Shop,Chinese Restaurant,Bookstore,Ice Cream Shop,Coffee Shop,Lounge,Brewery,Bar
12.9328504,77.6084306,560029,Taverekere,4.0,Indian Restaurant,Café,Chinese Restaurant,Dessert Shop,Coffee Shop,Bakery,Lounge,Bookstore,Multiplex,Shopping Mall
12.9338349,77.60421851377467,560029,Dharmaram College,4.0,Indian Restaurant,Café,Pizza Place,Multiplex,Fast Food Restaurant,Clothing Store,Donut Shop,Department Store,Coffee Shop,Sandwich Place
12.9351457,77.7047541,560087,Panathur,1.0,Ice Cream Shop,Construction & Landscaping,Train Station,Recreation Center,Athletics & Sports,Department Store,Gym,Café,Food Court,Pizza Place
12.936264999999999,77.58570855784478,560011,Madhavan Park,4.0,Indian Restaurant,Café,Chinese Restaurant,Coffee Shop,Hotel,Juice Bar,Fast Food Restaurant,Salon / Barbershop,Lounge,Electronics Store
